number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio,kpca_1,kpca_2
0.875,0.8749777223311352,0.8888888888888888,0.843205574912892,0.2736842105263158,0.8793650793650793,0.9285714285714286,0.3103448275862069,0.7630263157894737,0.3577376276512175,0.9184549356223176,0.134,0.5756521739130436,0.8793103448275864,0.08629918786402484,-0.22214424557611392
1.0,1.0,0.8708708708708708,0.9881533101045296,0.4807017543859649,1.0,0.9950738916256158,0.1264367816091954,1.0,0.6805970149253732,0.815450643776824,0.0605,0.4608695652173913,1.0,0.0578483521526508,0.31204147814093547
1.0,1.0,0.987987987987988,0.92404181184669,0.5157894736842106,0.961904761904762,1.0,0.1187739463601533,0.6732856598016781,0.3577376276512175,0.96137339055794,0.191,0.8391304347826087,1.0,-0.3095349452891231,0.18339875610801468
1.0,1.0,0.9429429429429428,0.9477351916376306,0.231578947368421,0.9555555555555556,0.8669293924466339,0.2371392081736908,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725,-0.1635647889233228,-0.1196430846916075
1.0,1.0,0.818720128579283,0.8174315579890494,0.2631578947368421,0.9428571428571428,0.9285714285714286,0.0421455938697318,0.6732856598016781,0.3577376276512175,0.9098712446351932,0.0745,0.8391304347826087,1.0,-0.3418984644624238,0.053932532692958716
1.0,1.0,0.9009009009009008,0.9721254355400696,0.2526315789473684,0.9682539682539684,0.9630541871921182,0.0919540229885056,0.6732856598016781,0.3577376276512175,0.8927038626609443,0.0815,0.9217391304347828,1.0,-0.4182136449805587,0.0977169656598992
1.0,1.0,0.8768768768768768,0.9853658536585364,0.2926553672316384,0.946031746031746,0.9359605911330048,0.0689655172413793,0.6732856598016781,0.3577376276512175,0.8841201716738197,0.083,0.9217391304347828,1.0,-0.4169450328218382,0.10906500778338823
1.0,1.0,0.8738738738738737,0.9874564459930312,0.2926553672316384,0.9523809523809524,0.9433497536945812,0.0651340996168582,0.6732856598016781,0.3577376276512175,0.8755364806866953,0.077,0.9217391304347828,1.0,-0.41767560955633953,0.11594793213618619
1.0,1.0,0.8588588588588587,0.9958188153310102,0.2982456140350877,0.9492063492063492,0.9507389162561576,0.0498084291187739,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.0695,0.9217391304347828,1.0,-0.4135166280821033,0.1300769199224322
1.0,1.0,0.9189189189189187,0.9602787456445994,0.2926553672316384,0.9555555555555556,0.9507389162561576,0.0613026819923372,0.6732856598016781,0.3577376276512175,0.927038626609442,0.0885,0.8391304347826087,1.0,-0.4200820136970021,0.12397525114930984
1.0,1.0,0.921921921921922,0.9588850174216028,0.2926553672316384,0.9682539682539684,0.9679802955665024,0.10727969348659,0.6732856598016781,0.3577376276512175,0.9055793991416308,0.093,0.9217391304347828,1.0,-0.4189524567917306,0.09472501273814082
1.0,1.0,0.8978978978978979,0.972822299651568,0.2926553672316384,0.9523809523809524,0.9458128078817734,0.0766283524904214,0.6732856598016781,0.3577376276512175,0.8884120171673818,0.0865,0.9217391304347828,1.0,-0.42107335972948984,0.10619613369869534
1.0,1.0,0.9309309309309308,0.8174315579890494,0.2926553672316384,0.9492063492063492,0.9458128078817734,0.057471264367816,0.6732856598016781,0.3577376276512175,0.9356223175965666,0.099,0.8391304347826087,1.0,-0.36981950695056365,0.07724830810256157
1.0,1.0,0.818720128579283,0.8174315579890494,0.312280701754386,0.946031746031746,0.9458128078817734,0.0651340996168582,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725,-0.1932679966125252,-0.05236991610469407
1.0,1.0,0.990990990990991,0.9219512195121952,0.2491228070175438,0.9714285714285714,0.9802955665024632,0.0804597701149425,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725,-0.2620860062118344,0.017460440409529435
1.0,1.0,0.818720128579283,0.8174315579890494,0.6596491228070176,0.9555555555555556,0.958128078817734,0.0766283524904214,0.6732856598016781,0.3577376276512175,0.8583690987124464,0.191,0.8695652173913044,0.7586206896551725,-0.06483050994505964,0.13003316378408308
1.0,1.0,0.9069069069069068,0.96794425087108,0.256140350877193,0.8984126984126984,0.9729064039408868,0.1034482758620689,0.6732856598016781,0.3577376276512175,0.8755364806866953,0.0855,0.8147826086956523,1.0,-0.38548941954967814,0.07122266285231636
1.0,1.0,0.951951951951952,0.943554006968641,0.2926553672316384,0.9682539682539684,0.9679802955665024,0.111111111111111,0.6732856598016781,0.3577376276512175,0.8798283261802574,0.099,0.8147826086956523,1.0,-0.39857870975178744,0.0947815593784682
1.0,1.0,0.921921921921922,0.959581881533101,0.2926553672316384,0.9587301587301588,0.958128078817734,0.0881226053639847,0.7543859649122807,0.3577376276512175,0.9098712446351932,0.111,0.9217391304347828,1.0,-0.4205233133840495,0.08553202610978056
1.0,1.0,0.951951951951952,0.942857142857143,0.2926553672316384,0.9682539682539684,0.9704433497536946,0.0804597701149425,0.7807017543859649,0.3577376276512175,0.9484978540772532,0.12,0.8391304347826087,1.0,-0.4076484798019588,0.10109719843457006
1.0,1.0,0.954954954954955,0.9414634146341464,0.2926553672316384,0.9650793650793652,0.9704433497536946,0.111111111111111,0.6732856598016781,0.3577376276512175,0.9184549356223176,0.1155,0.9217391304347828,1.0,-0.41445171481378906,0.0927124549498372
1.0,1.0,0.818720128579283,0.8174315579890494,0.2926553672316384,0.946031746031746,0.9408866995073892,0.0651340996168582,0.6732856598016781,0.3577376276512175,0.8927038626609443,0.0975,0.9217391304347828,1.0,-0.3495186340458839,0.0401207848521893
1.0,1.0,0.8648648648648648,0.9916376306620208,0.3789473684210526,0.9746031746031746,0.9679802955665024,0.0881226053639847,0.8321491228070175,0.3577376276512175,0.8412017167381974,0.0645,0.8147826086956523,1.0,-0.36085121488150673,0.11873807846847181
1.0,1.0,0.8918918918918918,0.9763066202090592,0.2807017543859649,0.9777777777777776,0.9753694581280788,0.1034482758620689,0.8321491228070175,0.3577376276512175,0.8583690987124464,0.07,0.8147826086956523,1.0,-0.3760943405492705,0.08126770067853123
1.0,1.0,0.8948948948948948,0.9742160278745644,0.2631578947368421,0.9714285714285714,0.9679802955665024,0.0996168582375479,0.8321491228070175,0.3577376276512175,0.8669527896995708,0.0755,0.8147826086956523,1.0,-0.3773304357556017,0.07559349337841595
1.0,1.0,1.0,0.9177700348432056,0.624561403508772,0.9650793650793652,0.9802955665024632,0.0957854406130268,0.6732856598016781,0.3577376276512175,1.0,0.141,0.7382608695652174,1.0,-0.20913745818678922,0.2647473323897768
1.0,1.0,0.945945945945946,0.9463414634146342,0.2350877192982456,0.9428571428571428,0.9458128078817734,0.0613026819923372,0.6732856598016781,0.3577376276512175,0.9699570815450642,0.119,0.7382608695652174,1.0,-0.3675258326944996,0.12537553535562027
1.0,1.0,0.8858858858858858,0.9804878048780488,0.4245614035087719,0.907936507936508,0.8990147783251231,0.0,0.6732856598016781,0.3577376276512175,0.96137339055794,0.1045,0.7382608695652174,1.0,-0.3378317263066152,0.20258780969588291
1.0,1.0,0.993993993993994,0.9205574912891988,0.3017543859649123,0.9714285714285714,0.9827586206896552,0.0881226053639847,0.6732856598016781,0.3577376276512175,0.9828326180257512,0.134,0.7382608695652174,1.0,-0.3609287263922404,0.1431361021337115
1.0,1.0,0.818720128579283,0.8174315579890494,0.2926553672316384,0.946031746031746,0.9433497536945812,0.0613026819923372,0.6732856598016781,0.3577376276512175,0.9527896995708156,0.101,1.0,1.0,-0.3412568177097851,0.05981735227258457
1.0,1.0,0.8768768768768768,0.9846689895470384,0.2385964912280701,0.923809523809524,0.913793103448276,0.0344827586206896,0.6732856598016781,0.3577376276512175,0.9313304721030042,0.094,1.0,1.0,-0.397427412493033,0.12511660891135853
1.0,1.0,0.8528528528528527,1.0,0.287719298245614,0.9142857142857144,0.896551724137931,0.0114942528735632,0.6732856598016781,0.3577376276512175,0.9184549356223176,0.0825,1.0,1.0,-0.3918723106017681,0.14731348392932841
1.0,1.0,0.9429429429429428,0.9477351916376306,0.2491228070175438,0.9587301587301588,0.9605911330049262,0.0613026819923372,0.6732856598016781,0.3577376276512175,0.96137339055794,0.1115,1.0,1.0,-0.4078161392739672,0.1283556339430997
1.0,1.0,0.945945945945946,0.9456445993031358,0.2926553672316384,0.961904761904762,0.9679802955665024,0.0957854406130268,0.6732856598016781,0.3577376276512175,0.927038626609442,0.106,0.8147826086956523,1.0,-0.4060455732665928,0.10612517163872207
1.0,1.0,0.8798798798798798,0.983275261324042,0.2105263157894736,0.9365079365079364,0.9285714285714286,0.0498084291187739,0.6732856598016781,0.3577376276512175,0.9098712446351932,0.0915,0.8147826086956523,1.0,-0.3936042491445769,0.10881283536540155
1.0,1.0,0.9009009009009008,0.9714285714285712,0.2631578947368421,0.9365079365079364,0.9285714285714286,0.0421455938697318,0.6732856598016781,0.3577376276512175,0.9399141630901288,0.102,1.0,1.0,-0.40813128189979997,0.1287174368607832
1.0,1.0,0.963963963963964,0.9358885017421604,0.3052631578947368,0.9650793650793652,0.9704433497536946,0.0727969348659003,0.6732856598016781,0.3577376276512175,0.965665236051502,0.1215,1.0,1.0,-0.4062290155982686,0.13597879140751964
