name,SMILES,number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio,number_ofC__norm,molecular_weight__norm,Density__norm,molar_volume__norm,melting_point__norm,boiling_point__norm,Tc__norm,Pc__norm,Vc__norm,logP__norm,pf_eigenvalue__norm,fiedler_eigenvalue__norm,degree_entropy__norm,compression_ratio__norm
3-ethyl-3-methylpentane,CCC(CC)(C)CC,8,114.23,0.726,157.4,-91.0,118,305.0,28.9,434.94,,2.19,0.382,0.974,4.57,0.13622298275594974,0.13616168939240642,0.5362718032437314,0.0591537616391158,0.38513409296449386,0.2774544674663165,0.5230637095340662,0.6117744812852496,0.24437289388132352,-0.024049368191163517,0.575190437072999,0.2799402184396658,0.2794202166393988,0.19359511074490732
2-methylheptane,CC(C)CCCCC,8,114.23,0.698,163.7,-109.0,118,288.0,24.8,488.06,,1.95,0.167,0.974,4.57,0.13622298275594974,0.13616168939240642,0.004250172799602844,0.28591774140539516,-0.06287903558603984,0.2774544674663165,0.26678827808999606,-0.165985324379719,0.9700534362470288,-0.024049368191163517,-0.2148301632441325,-0.5363023171249552,0.2794202166393988,0.19359511074490732
3-methylheptane,CCC(C)CCCC,8,114.23,0.706,161.9,-121.0,119,292.0,25.6,478.01,,1.99,0.186,0.974,4.57,0.13622298275594974,0.13616168939240642,0.15625635292649673,0.22112803290074434,-0.36155445461972896,0.2956796528832915,0.3270883796062478,-0.014227313518261495,0.8327588306224929,-0.024049368191163517,-0.08316006319127713,-0.46416925584250035,0.2794202166393988,0.19359511074490732
4-methylheptane,CCCC(C)CCC,8,114.23,0.716,159.5,-121.0,118,290.0,25.6,475.95,,2.0,0.198,0.974,4.57,0.13622298275594974,0.13616168939240642,0.34626407808511406,0.13474175489454224,-0.36155445461972896,0.2774544674663165,0.29693832884812194,-0.014227313518261495,0.8046168517581602,-0.024049368191163517,-0.050242538178063276,-0.41861153292726566,0.2794202166393988,0.19359511074490732
"2,2,3,3-tetramethylbutane",CC(C)(C)C(C)(C)C,8,114.23,0.722,158.2,97.0,106,271.0,24.5,478.46,,2.3,0.354,0.562,4.57,0.13622298275594974,0.13616168939240642,0.46026871318028445,0.08794918764118248,5.06438232449229,0.05875224246261671,0.010512846645925885,-0.22289457845276564,0.8389063502773227,-0.024049368191163517,0.9372832122183506,0.17363886497078487,-1.6086259256594553,0.19359511074490732
"2,2,3-trimethylpentane",CC(C)(C)C(C)CC,8,114.23,0.716,159.5,-112.0,110,294.0,28.2,437.0,,2.21,0.289,1.07,4.57,0.13622298275594974,0.13616168939240642,0.34626407808511406,0.13474175489454224,-0.13754789034446213,0.13165298413051665,0.35723843036437375,0.47898622178147454,0.2725148727456563,-0.024049368191163517,0.6410254870994267,-0.07313213415340292,0.7193532983401032,0.19359511074490732
"2,2,4-trimethylpentane",CC(C)(C)CC(C)C,8,114.23,0.692,165.1,-107.0,99,271.0,25.6,482.0,4.08,2.15,0.238,1.07,4.57,0.13622298275594974,0.13616168939240642,-0.10975446229556757,0.3363097369090131,-0.013099799080424981,-0.06882405545620818,0.010512846645925885,-0.014227313518261495,0.887266838228652,0.9258059928078157,0.44352033702014365,-0.2667524565431502,0.7193532983401032,0.19359511074490732
"2,3,3-trimethylpentane",CC(C)C(C)(C)CC,8,114.23,0.726,157.4,-109.0,115,303.0,28.9,433.0,,2.22,0.319,1.07,4.57,0.13622298275594974,0.13616168939240642,0.5362718032437314,0.0591537616391158,-0.06287903558603984,0.22277891121539156,0.4929136587759403,0.6117744812852496,0.2178702535916122,-0.024049368191163517,0.6739430121126413,0.04076217313468385,0.7193532983401032,0.19359511074490732
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,8,114.23,0.72,158.8,-110.0,113,295.0,27.6,446.94,,2.14,0.268,0.662,4.57,0.13622298275594974,0.13616168939240642,0.422267168148561,0.10954575714273378,-0.08776865383884727,0.1863285403814416,0.37231345574343666,0.3651677136353819,0.40830675134345573,-0.024049368191163517,0.41060281200693055,-0.15285814925506344,-1.1503622988878888,0.19359511074490732
nonane,CCCCCCCCC,9,128.26,0.714,179.6,-51.0,151,322.0,22.8,555.0,5.65,1.9,0.121,0.53,5.06,0.7113866877255163,0.7114310695546014,0.3082625330533906,0.8582268331964829,1.380718823076791,0.8788855862264909,0.7793391409781364,-0.5453803515333624,1.8845311377899563,3.1853104121538722,-0.37941778831020173,-0.7109402549666881,-1.7552702862263567,0.7869681086165411
"3,3-diethylpentane",CCC(CC)(CC)CC,9,128.26,0.753,170.4,-41.0,139,324.0,22.6,,,2.24,0.382,0.965,5.06,0.7113866877255163,0.7114310695546014,1.0492926611719982,0.5270794341727094,1.6296150056048653,0.6601833612227912,0.8094891917362622,-0.5833198542487267,0.23112157373646824,-0.024049368191163517,0.739778062139069,0.2799402184396658,0.2381764902299578,0.7869681086165411
"2,4-dimethyl-3-ethylpentane",CCC(CC)CC,9,128.26,0.738,173.8,-122.0,137,,,,,2.0,0.382,1.0,4.08,0.7113866877255163,0.7114310695546014,0.7642810734340723,0.6494599946814956,-0.3864440728725364,0.6237329903888412,0.37231345574343666,-0.20392482709508322,0.23112157373646824,-0.024049368191163517,-0.050242538178063276,0.2799402184396658,0.39856875960000626,-0.3997778871267275
"2,2-dimethylheptane",CC(C)(C)CCCCC,9,128.26,,,-113.0,133,295.0,20.6,,,2.12,0.149,0.965,5.06,0.7113866877255163,0.7114310695546014,0.3082625330533906,0.2751194566546205,-0.16243750859726955,0.5508322487209413,0.37231345574343666,-0.96271488140237,0.23112157373646824,-0.024049368191163517,0.34476776198050285,-0.6046389014978073,0.2381764902299578,0.7869681086165411
"2,3-dimethylheptane",CC(C)C(C)CCCC,9,128.26,0.724,177.3,-116.0,141,309.0,21.9,,,2.08,0.163,1.06,5.06,0.7113866877255163,0.7114310695546014,0.49827025821200793,0.77543998344054,-0.23710636335569185,0.6966337320567412,0.583363811050318,-0.7161081137525024,0.23112157373646824,-0.024049368191163517,0.21309766192764748,-0.5514882247633668,0.6735269356629465,0.7869681086165411
"2,4-dimethylheptane",CC(C)CC(C)CCC,9,128.26,0.716,179.2,,134,298.0,21.3,,,2.06,0.166,1.06,5.06,0.7113866877255163,0.7114310695546014,0.34626407808511406,0.843829120195449,-0.16243750859726955,0.5690574341379162,0.41753853188062556,-0.829926621898595,0.23112157373646824,-0.024049368191163517,0.14726261190121978,-0.5400987940345581,0.6735269356629465,0.7869681086165411
"2,5-dimethylheptane",CC(C)CCC(C)CC,9,128.26,0.715,179.5,,136,301.0,21.2,,,2.04,0.154,1.06,5.06,0.7113866877255163,0.7114310695546014,0.3272633055692523,0.8546274049462247,-0.16243750859726955,0.6055078049718662,0.4627636080178144,-0.8488963732562774,0.23112157373646824,-0.024049368191163517,0.08142756187479211,-0.5856565169497928,0.6735269356629465,0.7869681086165411
"2,6-dimethylheptane",CC(C)CCCC(C)C,9,128.26,0.71,180.7,-103.0,135,304.0,20.8,,,2.0,0.139,1.06,5.06,0.7113866877255163,0.7114310695546014,0.23225944298994367,0.8978205439493252,0.08645867393080474,0.5872826195548912,0.5079886841550032,-0.9247753786870059,0.23112157373646824,-0.024049368191163517,-0.050242538178063276,-0.642603670593836,0.6735269356629465,0.7869681086165411
"3,3-dimethylheptane",CCC(C)(C)CCCC,9,128.26,0.73,175.6,,137,304.0,21.1,,,2.16,0.177,0.965,5.06,0.7113866877255163,0.7114310695546014,0.6122748933071783,0.7142497031861463,-0.16243750859726955,0.6237329903888412,0.5079886841550032,-0.8678661246139592,0.23112157373646824,-0.024049368191163517,0.47643786203335825,-0.4983375480289264,0.2381764902299578,0.7869681086165411
"3,4-dimethylheptane",CCC(C)C(C)CCC,9,128.26,0.731,175.4,,141,311.0,22.3,,,2.11,0.186,1.06,5.06,0.7113866877255163,0.7114310695546014,0.6312756658230401,0.70705084668563,-0.16243750859726955,0.6966337320567412,0.6135138618084439,-0.6402291083217733,0.23112157373646824,-0.024049368191163517,0.3118502369672883,-0.46416925584250035,0.6735269356629465,0.7869681086165411
"3,5-dimethylheptane",CCC(C)CC(C)CC,9,128.26,0.723,177.4,,136,302.0,21.5,,,2.07,0.173,1.06,5.06,0.7113866877255163,0.7114310695546014,0.4792694856961462,0.7790394116907983,-0.16243750859726955,0.6055078049718662,0.4778386333968773,-0.7919871191832308,0.23112157373646824,-0.024049368191163517,0.1801801369144329,-0.5135234556673379,0.6735269356629465,0.7869681086165411
"4,4-dimethylheptane",CCCC(C)(C)CCC,9,128.26,0.734,,,135,302.0,21.0,,,2.18,0.198,0.965,5.06,0.7113866877255163,0.7114310695546014,0.6882779833706253,0.2751194566546205,-0.16243750859726955,0.5872826195548912,0.4778386333968773,-0.8868358759716417,0.23112157373646824,-0.024049368191163517,0.5422729120597859,-0.41861153292726566,0.2381764902299578,0.7869681086165411
"3-ethyl-2,2-dimethylpentane",CCC(CC)CC,9,128.26,,,-99.0,134,302.0,21.2,,,2.0,0.382,1.0,4.08,0.7113866877255163,0.7114310695546014,0.3082625330533906,0.2751194566546205,0.18601714694203444,0.5690574341379162,0.4778386333968773,-0.8488963732562774,0.23112157373646824,-0.024049368191163517,-0.050242538178063276,0.2799402184396658,0.39856875960000626,-0.3997778871267275
"3-ethyl-2,3-dimethylpentane",CCC(CC)CC,9,128.26,0.754,170.1,-117.0,142,316.0,21.6,,,2.0,0.382,1.0,4.08,0.7113866877255163,0.7114310695546014,1.06829343368786,0.5162811494219337,-0.2619959816084993,0.7148589174737161,0.6888889887037586,-0.7730173678255483,0.23112157373646824,-0.024049368191163517,-0.050242538178063276,0.2799402184396658,0.39856875960000626,-0.3997778871267275
"3-ethyl-2,4-dimethylpentane",CCC(CC)CC,9,128.26,,,0.0,137,307.0,21.5,,,2.0,0.382,1.0,4.08,0.7113866877255163,0.7114310695546014,0.3082625330533906,0.2751194566546205,2.6500893539699697,0.6237329903888412,0.553213760292192,-0.7919871191832308,0.23112157373646824,-0.024049368191163517,-0.050242538178063276,0.2799402184396658,0.39856875960000626,-0.3997778871267275
3-ethylheptane,CCC(CC)CCCC,9,128.26,0.726,176.7,-115.0,119,313.0,22.2,,,2.04,0.171,0.937,5.06,0.7113866877255163,0.7114310695546014,0.5362718032437314,0.7538434139389887,-0.2122167451028844,0.2956796528832915,0.6436639125665697,-0.6591988596794557,0.23112157373646824,-0.024049368191163517,0.08142756187479211,-0.5211164094865437,0.10986267473391954,0.7869681086165411
4-ethylheptane,CCCC(CC)CCC,9,128.26,0.741,173.2,,141,311.0,22.4,,,2.05,0.198,0.937,5.06,0.7113866877255163,0.7114310695546014,0.8212833909816575,0.6278634251799443,-0.16243750859726955,0.6966337320567412,0.6135138618084439,-0.6212593569640915,0.23112157373646824,-0.024049368191163517,0.11434508688800522,-0.41861153292726566,0.10986267473391954,0.7869681086165411
3-ethyl-2-methylhexane,CC(C)C(CC)CCC,9,128.26,0.731,175.5,,138,307.0,21.8,443.0,,2.12,0.222,1.06,5.06,0.7113866877255163,0.7114310695546014,0.6312756658230401,0.7106502749358882,-0.16243750859726955,0.6419581758058162,0.553213760292192,-0.7350778651101841,0.35448180147672237,-0.024049368191163517,0.34476776198050285,-0.32749608709679634,0.6735269356629465,0.7869681086165411
3-ethyl-3-methylhexane,CCC(CC)(C)CCC,9,128.26,0.741,173.1,,141,312.0,21.6,455.0,,2.21,0.24,0.965,5.06,0.7113866877255163,0.7114310695546014,0.8212833909816575,0.624263996929686,-0.16243750859726955,0.6966337320567412,0.6285888871875068,-0.7730173678255483,0.5184156589388546,-0.024049368191163517,0.6410254870994267,-0.2591595027239444,0.2381764902299578,0.7869681086165411
